Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
201000,3653721,HK742237,10/25/2004 12:00:00 AM,008XX N HOMAN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1121,11.0,27.0,23.0,26,1153552.0,1905563.0,2004,02/28/2018 03:56:25 PM,41.896705626,-87.711476738,"(41.896705626, -87.711476738)"
201001,3105528,HJ837008,12/24/2003 08:30:00 PM,061XX N AVERS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1711,17.0,39.0,13.0,05,1149579.0,1940599.0,2003,02/28/2018 03:56:25 PM,41.99292531,-87.725155969,"(41.99292531, -87.725155969)"
201002,3761615,HL132238,01/18/2005 11:11:31 PM,045XX N MILWAUKEE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,False,True,1623,16.0,45.0,15.0,04B,1140866.0,1930028.0,2005,02/28/2018 03:56:25 PM,41.96408297,-87.757467311,"(41.96408297, -87.757467311)"
201003,3613882,HK707251,10/24/2004 03:05:00 PM,012XX W BELMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,True,False,1932,19.0,32.0,6.0,14,1167442.0,1921381.0,2004,02/10/2018 03:50:01 PM,41.939823537,-87.660005051,"(41.939823537, -87.660005051)"
201004,1504341,G247242,04/30/2001 05:52:55 PM,027XX W 23 PL,0460,BATTERY,SIMPLE,STREET,False,False,1034,10.0,,,08B,1158699.0,1888329.0,2001,08/17/2015 03:03:40 PM,41.849309923,-87.693044786,"(41.849309923, -87.693044786)"
201005,3842305,HL152764,01/30/2005 03:11:43 PM,037XX W LAWRENCE AVE,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,SIDEWALK,True,False,1712,17.0,39.0,14.0,22,1150425.0,1931633.0,2005,02/28/2018 03:56:25 PM,41.968305528,-87.722279329,"(41.968305528, -87.722279329)"
201006,7808540,HS618735,11/15/2010 06:00:00 PM,025XX W MOFFAT ST,0810,THEFT,OVER $500,STREET,False,False,1434,14.0,1.0,22.0,06,1159209.0,1912209.0,2010,02/10/2018 03:50:01 PM,41.91482839,-87.690516553,"(41.91482839, -87.690516553)"
201007,10615658,HZ367936,07/27/2016 09:50:00 PM,083XX S MUSKEGON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,423,4.0,10.0,46.0,06,1196608.0,1850199.0,2016,02/10/2018 03:50:01 PM,41.743819332,-87.555183606,"(41.743819332, -87.555183606)"
201008,4994241,HM604561,09/16/2006 09:30:00 AM,050XX W CATALPA AVE,0560,ASSAULT,SIMPLE,ALLEY,False,False,1621,16.0,45.0,12.0,08A,1141623.0,1935814.0,2006,02/28/2018 03:56:25 PM,41.97994623,-87.754540287,"(41.97994623, -87.754540287)"
201009,11370541,JB336948,07/05/2018 12:15:00 PM,002XX W WASHINGTON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CONVENIENCE STORE,False,False,122,1.0,42.0,32.0,11,1174606.0,1900807.0,2018,07/12/2018 03:56:08 PM,41.883210106,-87.634291664,"(41.883210106, -87.634291664)"
201010,7406204,HS208619,03/14/2010 03:30:00 PM,061XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,313,3.0,20.0,42.0,14,1180307.0,1864332.0,2010,02/10/2018 03:50:01 PM,41.782990756,-87.614478366,"(41.782990756, -87.614478366)"
201011,1899494,G754405,12/17/2001 05:22:00 PM,013XX W FILLMORE ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,False,1231,12.0,,,04A,1167427.0,1895372.0,2001,08/17/2015 03:03:40 PM,41.868453482,-87.660809596,"(41.868453482, -87.660809596)"
201012,5601683,HN409868,06/16/2007 08:40:00 PM,070XX S SOUTH CHICAGO AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,False,322,3.0,6.0,69.0,26,1182244.0,1858623.0,2007,02/28/2018 03:56:25 PM,41.767280058,-87.607553429,"(41.767280058, -87.607553429)"
201013,10157240,HY346530,07/19/2015 03:10:00 AM,034XX S DR MARTIN LUTHER KING JR DR,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,211,2.0,4.0,35.0,06,1179474.0,1882305.0,2015,02/10/2018 03:50:01 PM,41.832329279,-87.616983146,"(41.832329279, -87.616983146)"
201014,9410476,HW554002,12/01/2013 05:00:00 AM,006XX E 61ST ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,False,False,313,3.0,20.0,42.0,03,1181367.0,1864699.0,2013,02/10/2018 03:50:01 PM,41.783973454,-87.610580799,"(41.783973454, -87.610580799)"
201015,4808306,HM422482,06/18/2006 11:00:00 AM,042XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,1013,10.0,22.0,29.0,05,1148562.0,1889042.0,2006,02/10/2018 03:50:01 PM,41.851467867,-87.730230676,"(41.851467867, -87.730230676)"
201016,1698744,G496087,08/19/2001 10:30:00 AM,032XX W ARMITAGE AV,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1413,14.0,,,08A,1153943.0,1913134.0,2001,08/17/2015 03:03:40 PM,41.917473346,-87.709838532,"(41.917473346, -87.709838532)"
201017,2068284,HH291477,04/07/2002 02:45:00 PM,0000X E 100 PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,511,5.0,,,26,1178387.0,1838350.0,2002,02/10/2018 03:50:01 PM,41.711736927,-87.622304794,"(41.711736927, -87.622304794)"
201018,11694952,JC272577,05/20/2019 07:30:00 PM,017XX N DAYTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1813,18.0,43.0,7.0,14,1170363.0,1911669.0,2019,06/30/2019 03:56:27 PM,41.913109885,-87.649554197,"(41.913109885, -87.649554197)"
201019,6406664,HP489125,08/02/2008 01:25:03 AM,031XX W JARVIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2411,24.0,50.0,2.0,14,1154261.0,1948868.0,2008,02/10/2018 03:50:01 PM,42.015523262,-87.707711535,"(42.015523262, -87.707711535)"
