Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53000,4809324,HM300447,04/19/2006 04:45:02 PM,090XX S NORMAL AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,False,False,2223,22.0,21.0,71.0,18,1174545.0,1845186.0,2006,02/10/2018 03:50:01 PM,41.730582057,-87.636172403,"(41.730582057, -87.636172403)"
53001,2599849,HJ197748,02/21/2003 06:30:00 PM,039XX N AVONDALE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1731,17.0,38.0,16.0,06,1147850.0,1926182.0,2003,02/28/2018 03:56:25 PM,41.953397577,-87.73188822,"(41.953397577, -87.73188822)"
53002,7495181,HR183541,02/22/2009 07:42:00 PM,011XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,False,False,1135,11.0,28.0,29.0,08B,,,2009,08/17/2015 03:03:40 PM,,,
53003,2628412,HJ231141,03/07/2003 02:46:00 PM,025XX W ADDISON ST,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,False,1913,19.0,47.0,5.0,06,1158854.0,1923830.0,2003,02/28/2018 03:56:25 PM,41.946724511,-87.691501175,"(41.946724511, -87.691501175)"
53004,8389615,HT622350,12/06/2011 12:00:00 AM,072XX S MAY ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,733,7.0,17.0,68.0,26,1169905.0,1856761.0,2011,02/04/2016 06:33:39 AM,41.762447305,-87.652834901,"(41.762447305, -87.652834901)"
53005,10867238,JA173726,03/02/2017 12:00:00 PM,097XX S NORMAL AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,2223,22.0,21.0,73.0,10,1174678.0,1840350.0,2017,02/10/2018 03:50:01 PM,41.717308454,-87.635828725,"(41.717308454, -87.635828725)"
53006,11199346,JB109858,01/08/2018 09:30:00 PM,012XX E 46TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,222,2.0,4.0,39.0,06,1185333.0,1874509.0,2018,05/04/2018 03:51:04 PM,41.810800457,-87.595731527,"(41.810800457, -87.595731527)"
53007,8682902,HV342880,06/19/2012 04:50:00 PM,019XX E 73RD PL,031B,ROBBERY,ARMED: OTHER FIREARM,ALLEY,False,False,333,3.0,5.0,43.0,03,1190586.0,1856623.0,2012,02/04/2016 06:33:39 AM,41.761594665,-87.577041413,"(41.761594665, -87.577041413)"
53008,8060983,HT292186,05/09/2011 01:58:00 PM,051XX N DAMEN AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2032,20.0,47.0,4.0,08B,1162074.0,1934195.0,2011,02/04/2016 06:33:39 AM,41.975099794,-87.679374655,"(41.975099794, -87.679374655)"
53009,9694865,HX345290,07/14/2014 08:08:00 PM,054XX W BELMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DEPARTMENT STORE,True,False,2514,25.0,30.0,19.0,08B,1139722.0,1920746.0,2014,02/10/2018 03:50:01 PM,41.938633302,-87.761901059,"(41.938633302, -87.761901059)"
53010,1339575,G037507,01/12/2001 01:00:00 AM,022XX N CAMPBELL AV,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,1431,14.0,,,14,1159471.0,1915054.0,2001,08/17/2015 03:03:40 PM,41.922629888,-87.689475525,"(41.922629888, -87.689475525)"
53011,3877586,HL250607,03/23/2005 11:05:57 AM,004XX S KEDZIE AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,GROCERY FOOD STORE,True,False,1134,11.0,28.0,27.0,10,1155109.0,1897796.0,2005,02/28/2018 03:56:25 PM,41.875361105,-87.705966667,"(41.875361105, -87.705966667)"
53012,11529170,JB545057,11/27/2018 09:47:00 AM,004XX W HARRISON ST,0560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,False,False,124,1.0,25.0,28.0,08A,1173461.0,1897593.0,2018,12/12/2018 04:09:45 PM,41.8744162,-87.638591667,"(41.8744162, -87.638591667)"
53013,11844612,JC452794,09/29/2019 06:40:00 AM,071XX S ASHLAND AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,False,False,734,7.0,17.0,67.0,04A,1166911.0,1857552.0,2019,10/06/2019 04:07:52 PM,41.764682386,-87.663785792,"(41.764682386, -87.663785792)"
53014,4022819,HL378006,05/25/2005 12:30:00 AM,028XX N LAKEWOOD AVE,0810,THEFT,OVER $500,STREET,False,False,1931,19.0,32.0,6.0,06,1167153.0,1918820.0,2005,02/28/2018 03:56:25 PM,41.93280225,-87.661141011,"(41.93280225, -87.661141011)"
53015,3260547,HK280967,04/03/2004 11:30:45 PM,018XX N CLYBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1811,18.0,32.0,7.0,08B,1169186.0,1911997.0,2004,02/28/2018 03:56:25 PM,41.914035604,-87.653868654,"(41.914035604, -87.653868654)"
53016,8513197,HV189738,03/08/2012 09:35:00 PM,003XX S PAULINA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1211,12.0,2.0,28.0,07,1165123.0,1898495.0,2012,02/10/2018 03:50:01 PM,41.877072479,-87.669179334,"(41.877072479, -87.669179334)"
53017,5294640,HN154884,02/01/2007 12:45:39 PM,079XX S DREXEL AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,624,6.0,8.0,44.0,08A,1183608.0,1852595.0,2007,02/10/2018 03:50:01 PM,41.750706929,-87.602741498,"(41.750706929, -87.602741498)"
53018,3617469,HK620301,09/13/2004 09:47:58 AM,003XX E 48TH ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,224,2.0,3.0,38.0,16,1179011.0,1873262.0,2004,02/10/2018 03:50:01 PM,41.807525138,-87.618957799,"(41.807525138, -87.618957799)"
53019,11881727,JC498209,11/04/2019 01:00:00 PM,036XX W 16TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1014,10.0,24.0,29.0,06,1152446.0,1891802.0,2019,11/11/2019 03:58:10 PM,41.858965893,-87.715902509,"(41.858965893, -87.715902509)"
53020,3458661,HK529189,08/01/2004 02:00:00 AM,084XX S ESCANABA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,423,4.0,10.0,46.0,14,1196950.0,1849661.0,2004,02/28/2018 03:56:25 PM,41.742334525,-87.553948371,"(41.742334525, -87.553948371)"
53021,6639581,HP711287,12/01/2008 03:32:51 PM,027XX W FLOURNOY ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1135,11.0,2.0,27.0,05,1158282.0,1896923.0,2008,02/28/2018 03:56:25 PM,41.872901275,-87.694340478,"(41.872901275, -87.694340478)"
53022,2534425,HH856892,12/23/2002 12:10:00 AM,024XX W 111TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2212,22.0,19.0,75.0,18,1162286.0,1830951.0,2002,02/28/2018 03:56:25 PM,41.691782515,-87.681476109,"(41.691782515, -87.681476109)"
53023,5388235,HN235081,03/19/2007 02:35:53 PM,015XX W GRANVILLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",False,False,2433,24.0,40.0,77.0,14,1164962.0,1941272.0,2007,02/28/2018 03:56:25 PM,41.99445831,-87.668552548,"(41.99445831, -87.668552548)"
53024,11084543,JA427590,09/11/2017 07:45:00 AM,059XX N MAGNOLIA AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2013,20.0,48.0,77.0,05,1166886.0,1939401.0,2017,02/10/2018 03:50:01 PM,41.989283039,-87.661529235,"(41.989283039, -87.661529235)"
53025,8690267,HV365694,07/03/2012 11:50:00 PM,061XX S DREXEL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,False,False,313,3.0,20.0,42.0,04A,1183066.0,1864341.0,2012,02/04/2016 06:33:39 AM,41.782951712,-87.604362828,"(41.782951712, -87.604362828)"
53026,2346895,HH646243,09/13/2002 08:56:00 PM,005XX E BROWNING AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,212,2.0,4.0,35.0,04A,1180760.0,1881423.0,2002,02/28/2018 03:56:25 PM,41.829879483,-87.612291851,"(41.829879483, -87.612291851)"
53027,12679619,JF218705,04/24/2022 07:00:00 AM,074XX S PHILLIPS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,334,3.0,7.0,43.0,06,1193935.0,1856145.0,2022,05/01/2022 04:47:22 PM,41.760201543,-87.564782892,"(41.760201543, -87.564782892)"
53028,10170631,HY358845,07/28/2015 10:30:00 AM,102XX S UNION AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2232,22.0,34.0,73.0,26,1173447.0,1836996.0,2015,02/10/2018 03:50:01 PM,41.708131871,-87.6404362,"(41.708131871, -87.6404362)"
53029,1864894,G696159,11/19/2001 01:00:00 PM,058XX W WASHINGTON BL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1513,15.0,,,14,1137501.0,1900114.0,2001,08/17/2015 03:03:40 PM,41.882056984,-87.770561411,"(41.882056984, -87.770561411)"
53030,3935157,HL307731,04/20/2005 03:30:00 PM,116XX S ADA ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,524,5.0,34.0,53.0,03,1169425.0,1827475.0,2005,02/28/2018 03:56:25 PM,41.68209257,-87.655439395,"(41.68209257, -87.655439395)"
